genes	logFC	logCPM	LR	PValue	FDR
YJL116C	6.12092234661972	5.51896312819207	378.438498360349	2.72224059204843e-84	1.59359964258515e-80
YNL160W	4.61753025751672	7.18952145676787	307.224497689825	8.78734808800843e-69	2.57205678536007e-65
YBR072W	4.7212377757666	5.80607662008974	291.119622107068	2.83532198893271e-65	5.53265830773736e-62
YBR054W	4.78300716097868	5.19505138343624	277.02818761402	3.33593581531083e-62	4.8821420657074e-59
YDR171W	4.51765391011836	5.42134491235178	264.604802486249	1.70142311474764e-59	1.70725766939454e-56
YCR021C	4.69901847767479	4.99738306333963	264.548896950295	1.74983703730222e-59	1.70725766939454e-56
YIL101C	4.77838655079578	4.83433434875301	263.625168343173	2.78186864355949e-59	2.32643700562818e-56
YDR342C	4.24912701709073	5.71844034094387	250.248549591594	2.29220646658672e-56	1.67732208192483e-53
YHR137W	5.52930384139743	3.43079240886678	226.646438143358	3.2115997245335e-51	2.08896719860212e-48
YFR053C	3.76362566725756	6.93783733059054	223.298462661448	1.72555386936532e-50	1.01013923512646e-47
YOL052C-A	4.52847091627973	4.05098475530186	216.72848028867	4.67745135256984e-49	2.48925456526762e-46
YAL037C-B	-3.72154282787826	6.10435128806713	211.333260464084	7.03056848220486e-48	3.42974565790227e-45
YDR343C	3.79619828208282	5.38064774194151	206.49567248545	7.9880494536619e-47	3.59708011551821e-44
YPR160W	3.60497023008214	6.1431519795918	201.414765826629	1.02589670025749e-45	4.28971377379096e-43
YLR302C	-4.7043957322503	3.42562070203053	200.359549546139	1.7432933887181e-45	6.80349299837051e-43
YER150W	3.81208306916337	4.98841982944007	199.721599590717	2.40206803821226e-45	8.78856643480912e-43
YER011W	6.36124449361964	2.74320298648198	199.43212871706	2.778145463116e-45	9.56662561240063e-43
YLR327C	4.50688615241217	3.58629169492208	194.753916926207	2.9155412903306e-44	9.48198817421964e-42
YDR380W	6.01170163293661	2.70078414089973	190.321928026038	2.70434076482988e-43	8.33221623016534e-41
YGR088W	3.47007181242429	6.060470339232	188.803316679822	5.80156811198124e-43	1.69811898637691e-40
YKL163W	3.45449130167784	5.88132970870242	185.337673192603	3.31193166209615e-42	9.23240378567185e-40
YMR323W	4.60759987404136	3.26486652322912	183.307239286508	9.19075637607647e-42	2.44557671934326e-39
YHR087W	4.03857038751595	3.8400451394565	181.016647783037	2.90702147261439e-41	7.39900160899331e-39
YLL044W	-4.26453603482595	3.26515259981971	171.817128845948	2.96687647052318e-39	7.2367061910178e-37
YOL084W	3.24185409279335	6.03542226281184	168.943873200454	1.25845945258871e-38	2.94680865418173e-36
YNL194C	4.29307109233297	3.23975115060271	168.519761211143	1.55766296958673e-38	3.50713808613874e-36
YLL057C	3.80175167484458	3.86973802226179	167.992714273212	2.03045151265842e-38	4.40231968707496e-36
YML100W	3.09315286947087	8.05740416738623	165.494370824967	7.13373076507421e-38	1.49145928209802e-35
YGR248W	4.05311594294129	3.40541450644692	165.042866196829	8.95253365416547e-38	1.80717696591326e-35
YFL014W	3.15925367543563	6.33199492213334	164.044136818246	1.47951631705203e-37	2.8870295066742e-35
YEL039C	4.52037721776165	2.87244712588306	160.586273867863	8.42472975143755e-37	1.59091509564243e-34
YJL153C	3.04339256614401	6.7868094251269	156.724950299058	5.878306882605e-36	1.07536276533655e-33
YML128C	3.07090878498951	6.20079288955416	155.687638202186	9.90662723501726e-36	1.757375631327e-33
YAL061W	3.28163720337879	4.62140162654629	153.258504433503	3.36339166788395e-35	5.79096906582136e-33
YKL153W	-3.23899426786683	4.68784016781526	151.853230911244	6.82187224140343e-35	1.14100686003359e-32
YGL123C-A	-3.17373721502842	5.00666343323117	151.498885050351	8.15360426034316e-35	1.32586664833469e-32
YJR047C	4.27221030668534	2.80835537330064	148.425552374948	3.82920177158135e-34	6.05841815428033e-32
YFR017C	3.84089107085013	3.20681253778687	146.923837735522	8.15418771297737e-34	1.25617407557288e-31
YPL223C	4.08124090883697	2.84429043194339	142.589759418012	7.22651529253277e-33	1.08471847493556e-30
YDR042C	3.4861954374719	3.58074655062545	141.063683605507	1.55817700485483e-32	2.28039204660505e-30
YGR142W	3.03996364224921	4.88782632946503	139.915585436207	2.77762297511189e-32	3.96590363324512e-30
YCL040W	2.80177015733558	8.17899957977917	139.642552504839	3.18698440661775e-32	4.44204921817627e-30
YDL228C	-3.17995830908581	4.15840739198031	137.673721303071	8.58907931812282e-32	1.15756958576128e-29
YBR296C	3.54563522557542	3.36151195111487	137.648113676267	8.70055718713636e-32	1.15756958576128e-29
YAR035W	4.123979949168	2.65941237544325	136.218276419314	1.78758932714514e-31	2.32545509357948e-29
YBR056W-A	3.39153775229509	3.57397376132003	135.632365472469	2.40115076210639e-31	3.05572533942844e-29
YMR011W	2.74801447297379	8.2223421324128	135.032761349093	3.24765721577297e-31	4.04506071087978e-29
YOR173W	3.25327571871476	3.76601622474863	132.72930760239	1.03619413761605e-30	1.26372510033424e-28
YGL156W	2.86597791422703	5.40808625498587	132.604548959413	1.10340096802809e-30	1.31822638098703e-28
YBR117C	3.65039950211224	2.94789638447996	128.684517424561	7.95018628307921e-30	9.30807810022914e-28
