genes	logFC	logCPM	LR	PValue	FDR
YIL101C	4.3989158255161	4.67090469565899	326.674212071384	5.0951781738813e-73	3.07392099230259e-69
YFR053C	3.66142504411755	6.57882395639812	262.197926061084	5.69414274916031e-59	1.71763816028421e-55
YOL052C-A	4.00644230221457	3.30214684568176	253.259408549216	5.05681705285227e-57	1.01692590932859e-53
YDR342C	3.60894617156807	5.12592770556467	246.667895337129	1.38320865071517e-55	2.08622444744116e-52
YNL194C	4.06923193580616	2.50634593675423	230.796108925988	3.99692299510188e-52	4.82268728588993e-49
YNL160W	3.35717006070101	6.3709942813363	226.251416643715	3.91628926653778e-51	3.93782885750373e-48
YJL116C	3.51844463073824	3.37099275829564	211.019960822871	8.22889975959938e-48	7.09213603566615e-45
YFL014W	3.17186025552685	6.26381024643073	205.505386298124	1.31374971181498e-46	9.90731501422471e-44
YPR160W	3.14084275555595	5.90327539137335	200.661153635603	1.49814737543385e-45	1.00425812399916e-42
YEL039C	3.68651039602919	2.3193492060267	196.927666629605	9.77933194775059e-45	5.89987096407793e-42
YLL044W	-3.67810586968505	2.55342772004419	191.598755855416	1.42352359362921e-43	7.8073798548773e-41
YDR343C	3.04700094590645	4.71534810102418	183.315739645855	9.15156697137194e-42	4.60095029485724e-39
YLR327C	3.40975441661993	2.25580245330251	173.947512562949	1.01635805453527e-39	4.71668318693174e-37
YOL084W	2.86536135347463	6.29608089105482	172.307882825197	2.31804170750778e-39	9.98910401528173e-37
YBR072W	3.01337996076387	3.69969611591825	169.997253839225	7.40911399119166e-39	2.97994564725729e-36
YHR087W	2.89202508383842	3.98206929818582	162.372301953496	3.43045724161408e-37	1.29349678366611e-34
YLR302C	-3.3916261470245	2.47884047131292	161.184276143559	6.23597037719805e-37	2.21303584033152e-34
YAL061W	2.80953561104939	4.47020917733487	158.352126382441	2.59238911649969e-36	8.68882418880147e-34
YDL048C	-2.75443007792623	5.70790654281015	157.870617924482	3.30302306128431e-36	1.04879674361728e-33
YLR154W-F	2.64076305836739	9.1240668383163	151.869118725614	6.76754509638334e-35	2.04142997832403e-32
YDR042C	2.92082659826244	2.94647344205481	151.419806990233	8.48463444470595e-35	2.43751426690052e-32
YDL228C	-2.90060877844232	3.41231547980818	148.582142577609	3.53898835868405e-34	9.70487125815496e-32
YGL123C-A	-2.74622798893535	4.35807272525795	146.035385439484	1.27527942349812e-33	3.34511337476702e-31
YDR536W	3.90727592378394	0.849656126720966	144.391223762751	2.91780606796892e-33	7.33463500335687e-31
YGR213C	3.28166676961516	1.65557247276115	143.570843576576	4.40981500582685e-33	1.06417655720614e-30
YDR034W-B	3.62242475393195	1.06972902676152	141.28817004702	1.3916486942569e-32	3.2291602201738e-30
YML100W	2.53452203320515	8.25442986413543	140.831733098729	1.75120364341019e-32	3.91296725210876e-30
YMR095C	2.751384776665	3.11702673633339	138.831204001548	4.7952341272145e-32	1.03320169605304e-29
YBR296C	2.81742978324477	2.6464995578852	136.102093649243	1.89530532009831e-31	3.94288861936314e-29
YMR011W	2.47802833553652	7.40517635500604	134.615726225996	4.00673179525028e-31	8.05753764024831e-29
YKL153W	-2.62210527260864	4.09324155806555	132.823322994872	9.88267298535137e-31	1.92329568131048e-28
YLR154W-B	2.43631137252665	9.18517203131111	131.405060757643	2.01903225571113e-30	3.8065067495954e-28
YLR154W-A	2.42337269732041	10.0528054247637	130.313232390437	3.49957957355178e-30	6.39786774764785e-28
YLR154W-C	2.41472693960939	9.79442461807585	129.432898151251	5.4529071671564e-30	9.67570262925134e-28
YGL156W	2.45799603137622	5.41480411664322	129.352731927203	5.67764860556523e-30	9.78664401067857e-28
YOR100C	2.96104460869882	1.73002674432442	126.452752729262	2.44760032084854e-29	4.10177020435534e-27
YPR157W	-2.44175770057402	5.13109929313219	125.159304552016	4.69686003189778e-29	7.5160909045734e-27
YML128C	2.3972247612717	5.9747554127021	125.143610749353	4.73415306437575e-29	7.5160909045734e-27
YPR044C	-2.90956264826861	2.07512650304072	124.116653796354	7.94337105394644e-29	1.22877839919125e-26
YHL024W	2.43081985949008	4.53261064128695	123.310079103577	1.19273522697957e-28	1.79894290609193e-26
YAL037C-B	-2.40581987300018	5.54811936801543	122.47344864796	1.81832379102325e-28	2.67559693444958e-26
YCL040W	2.31243880931925	8.70279505237257	119.407136177654	8.52964266409286e-28	1.22522224267791e-25
YCR021C	-2.36134583252025	5.15427277044285	117.337269690808	2.42176601354596e-27	3.39779403714483e-25
YIL099W	3.07513748582592	1.22687882602915	117.15961734736	2.64869850450265e-27	3.63172683583284e-25
YLR076C	-2.53360786280517	3.07708415062288	113.671213977287	1.53809902013539e-26	2.06207808632819e-24
YKL163W	2.30039590279347	4.94407684897857	113.219974881071	1.93116217208172e-26	2.53276117047152e-24
YBR117C	2.68908700612567	1.95391780498842	112.866151543179	2.30844031770559e-26	2.96315328440805e-24
YGR138C	-2.24283371252673	7.10565205350828	111.714006914313	4.127562871588e-26	5.18783058422717e-24
YMR096W	2.24721424285745	5.96620609969253	111.210486821849	5.3210308826183e-26	6.55138353364004e-24
YLL057C	2.43291279032908	2.94129626598488	109.952552680692	1.00364502947014e-25	1.21099809255867e-23
