genes	logFC	logCPM	LR	PValue	FDR
YNL145W	-7.8728965571653	6.9795222125074	431.266212059773	8.61584802805076e-96	5.06525705569104e-92
YFL026W	-6.73651860775539	8.66405476728019	397.939841544404	1.54670720897109e-88	4.54654584077053e-85
YIL015W	-5.96405074607743	6.89923135219723	318.958357504769	2.44227557467353e-71	4.78604603450189e-68
RME2	-6.47715750454888	5.33961885065673	303.178496188482	6.68799676114708e-68	9.82968323969592e-65
YDR461W	-6.69626891672772	4.85652904576896	290.669921877823	3.55293263524015e-65	4.17753819251537e-62
YJL157C	-5.7526496216017	5.89041878087166	284.555322303149	7.63731193598891e-64	7.48329281194646e-61
YKL209C	-5.26299213446657	7.88923265539875	279.772636411636	8.41671600730738e-63	7.06883905813716e-60
YGL032C	-6.11439837615395	4.13945728480951	238.994766591146	6.51468099943998e-54	4.78747619946346e-51
YDL042C	-8.74571947461064	3.18856819218999	230.578240167644	4.45901282550767e-52	2.91272626679551e-49
YOR212W	-4.54390880567364	5.65215059311288	205.826753044784	1.11787346299201e-46	6.57197808893002e-44
YDL227C	-4.86397815479743	4.69110358872354	204.273553042031	2.43946682398097e-46	1.30378413256219e-43
YDR365W-B	-4.03285470798352	8.20151989035185	188.141350319273	8.09178544321982e-43	3.96430055172411e-40
YOL104C	-4.46961001751493	4.60480257530531	182.883592655148	1.13721359595291e-41	5.14282979277475e-39
YLR256W-A	-3.77411485720187	8.03413225557341	168.712885764575	1.41348494868261e-38	5.93562715236076e-36
YPR158C-D	-3.71131783068289	9.55852947688972	166.171876537587	5.07366115695965e-38	1.98853692945105e-35
YGR044C	-4.09645325845657	4.74566779041023	164.119137328276	1.42473969193835e-37	5.23502790556596e-35
YPR137C-B	-3.65885821113951	8.37131627333789	160.91963352096	7.12398470710826e-37	2.46364153488761e-34
YJR027W	-3.60780206079433	9.06914044306475	158.16700625861	2.84543980872148e-36	9.2935225752631e-34
YPR158W-B	-3.61420531445965	8.11110602250445	157.28554473529	4.43358420245871e-36	1.37184429085551e-33
YML039W	-3.6037597001725	7.55554966073782	155.245900892377	1.23724913977238e-35	3.53411969001335e-33
YBL016W	-4.24632543554112	3.97863582607911	155.205906473384	1.26240029750434e-35	3.53411969001335e-33
YML045W	-3.5968362366788	7.55900378187343	154.765802339948	1.57533671587622e-35	4.04799800544697e-33
YPL257W-B	-3.59673531968168	7.5531036294399	154.755317548926	1.58366991197959e-35	4.04799800544697e-33
YDR316W-B	-3.70087582584493	5.95112699243557	154.11409583684	2.18672658553891e-35	5.35656899849302e-33
YLR227W-B	-3.53497054937536	8.28108778624538	151.95029179535	6.4966593782246e-35	1.5277544193833e-32
YDR261C-D	-3.57976098274572	6.74219448227284	150.699371633291	1.21925917005608e-34	2.75693256183066e-32
YOR192C-B	-3.65810236626057	5.52844146464435	147.678480561741	5.57717456214168e-34	1.21437812040115e-31
YCL019W	-3.49518385026321	7.01340905200462	146.048324714853	1.26700007382258e-33	2.66024765500106e-31
YDR261W-B	-3.45573757997145	7.8876810523527	145.511586778935	1.66003289185039e-33	3.36528736937533e-31
YOL103W-B	-3.50664423648162	6.53260200390877	144.770632135819	2.41049773677137e-33	4.7237720648263e-31
YLR035C-A	-3.59588338265342	5.39982078486239	142.725338173206	6.74970509106799e-33	1.2800489106577e-30
YPR122W	-3.54392013594139	5.65288763974804	141.407409506853	1.31055852087324e-32	2.4077417325668e-30
YLR157C-B	-3.60914500621184	4.9213435197568	138.327260035475	6.18042741271731e-32	1.10105250785955e-29
YHR005C	-3.64392383721828	4.62188592335164	135.680796079583	2.34329214057621e-31	4.05182779248457e-29
YOL155C	3.28173395390614	9.69933623586031	134.312203148168	4.66855630066272e-31	7.79768947997963e-29
YJR029W	-3.29358491717134	7.88750877518528	134.26748187456	4.77490765911323e-31	7.79768947997963e-29
YGR027W-B	-3.27025276178239	7.20852852662456	131.279245904647	2.15113943164969e-30	3.41798614018069e-28
YOR142W-B	-3.31033471278435	6.32303990489237	130.681450142994	2.90706498262719e-30	4.49753553496454e-28
YDR170W-A	-3.33470097218802	5.75657816151221	129.169329307786	6.22726562255646e-30	9.38720374231011e-28
YNL284C-B	-3.1916835533912	8.34308294790656	127.959642532866	1.14548686688339e-29	1.68357932260186e-27
YGR038C-B	-3.27270148274341	6.25972033659192	127.860025588868	1.20444848016667e-29	1.72706161339021e-27
YDR210W-B	-3.1599529438094	7.62314422569138	124.627020239024	6.14190215651575e-29	8.59720066146574e-27
YHR214C-B	-3.14867718005084	6.46576326415426	120.706016800142	4.4317043170728e-28	6.05906736745837e-26
YBR012W-B	-3.08764484025329	7.28564275879575	119.19662818926	9.48460072070878e-28	1.26727199175107e-25
YDR103W	-3.20356319153198	5.42985023651321	118.618281714154	1.26953449087948e-27	1.64649559224172e-25
YMR050C	-3.11018749629804	6.57614954127547	118.589186101162	1.28829388064499e-27	1.64649559224172e-25
YER160C	-3.21390404144377	5.26332787519329	117.791785161508	1.92579296930539e-27	2.40888018437157e-25
YGL192W	5.1409896916146	3.21326923414555	114.410557052401	1.0593850931963e-26	1.29752603393772e-24
YGR161C-D	-3.0219541427123	6.802775811843	113.668436634109	1.54025491762319e-26	1.84799156340954e-24
YDR098C-B	-3.07322748645286	5.80921262302173	112.894483996762	2.27568820835988e-26	2.67575419538955e-24
